PdfType: replica
Format: lhagrid1
---
   5.0000000000000003E-002   5.2145189072319777E-002   5.4382414867759570E-002   5.6715626109773133E-002   5.9148940936982322E-002   6.1686654171728375E-002   6.4333244900471584E-002   6.7093384379418863E-002   6.9971944279332468E-002   7.2974005284072316E-002   7.6104866058048268E-002   7.9370052598409971E-002   8.2775327988481084E-002   8.6326702569652580E-002   9.0030444549688948E-002   9.3893091066170650E-002   9.7921459724600146E-002  0.10212266063153641       0.10650410894399627       0.11107353795727258       0.11583901275426933       0.12080894444044475       0.12599210498948732       0.13139764272592760       0.13703509847201240       0.14291442238734089       0.14904599153098524       0.15544062817709192       0.16210961891629233       0.16906473457663540       0.17631825099920426       0.18388297070508486       0.19177224549192975       0.19999999999999998       0.20858075628927911       0.21752965947103828       0.22686250443909253       0.23659576374792934       0.24674661668691344       0.25733297960188634       0.26837353751767545       0.27988777711732987       0.29189602113628926       0.30441946423219313       0.31748021039363988       0.33110131195392434       0.34530681027861032       0.36012177819875579       0.37557236426468260       0.39168583889840058       0.40000000000000002       0.41224489795918368       0.42448979591836739       0.43673469387755104       0.44897959183673469       0.46122448979591840       0.47346938775510206       0.48571428571428571       0.49795918367346942       0.51020408163265307       0.52244897959183678       0.53469387755102038       0.54693877551020409       0.55918367346938780       0.57142857142857140       0.58367346938775511       0.59591836734693882       0.60816326530612241       0.62040816326530612       0.63265306122448983       0.64489795918367343       0.65714285714285714       0.66938775510204085       0.68163265306122445       0.69387755102040816       0.70612244897959187       0.71836734693877546       0.73061224489795917       0.74285714285714288       0.75510204081632648       0.76734693877551030       0.77959183673469390       0.79183673469387750       0.80408163265306121       0.81632653061224492       0.82857142857142851       0.84081632653061233       0.85306122448979593       0.86530612244897953       0.87755102040816324       0.88979591836734695       0.90204081632653066       0.91428571428571426       0.92653061224489797       0.93877551020408168       0.95102040816326527       0.96326530612244898       0.97551020408163258       0.98775510204081629        1.0000000000000000     
   1.0000000000500000        1.0472942126187863        1.0985159453363322        1.1540783223511668        1.2144468154985637        1.2801469502274343        1.3517732986876558        1.4299999999999997     
  -5 -4 -3 -2 -1 21  1  2  3  4  5
 0.0000000E+00  0.0000000E+00  9.4799998E-02  9.2649998E-02  9.2649998E-02  1.4480000E-01  5.8385000E-01  6.0075000E-01  9.4799998E-02  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  1.1892551E-01  1.1654772E-01  1.1656843E-01  1.9661290E-01  6.0437222E-01  6.2133434E-01  1.1892551E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  1.4385521E-01  1.4124203E-01  1.4128414E-01  2.5015291E-01  6.2557851E-01  6.4260483E-01  1.4385521E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  1.6960069E-01  1.6677886E-01  1.6681146E-01  3.0502018E-01  6.4761863E-01  6.6472084E-01  1.6960069E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  1.9619562E-01  1.9317804E-01  1.9318267E-01  3.6145401E-01  6.7046622E-01  6.8765232E-01  1.9619562E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  4.4084205E-02  2.2212244E-01  2.1890789E-01  2.1894253E-01  4.1464169E-01  6.9290567E-01  7.1010567E-01  2.2212244E-01  4.4084205E-02  0.0000000E+00
 0.0000000E+00  9.8332043E-02  2.4860690E-01  2.4518984E-01  2.4526712E-01  4.6859112E-01  7.1586242E-01  7.3306242E-01  2.4860690E-01  9.8332043E-02  0.0000000E+00
 0.0000000E+00  1.5438814E-01  2.7597417E-01  2.7234787E-01  2.7246920E-01  5.2433885E-01  7.3958439E-01  7.5678439E-01  2.7597417E-01  1.5438814E-01  0.0000000E+00
 0.0000000E+00  0.0000000E+00  1.0207899E-01  9.9581386E-02  9.9592051E-02  1.6084126E-01  5.8781193E-01  6.0498265E-01  1.0207899E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  1.2652204E-01  1.2379613E-01  1.2381418E-01  2.1308853E-01  6.0839652E-01  6.2562492E-01  1.2652204E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  1.5177985E-01  1.4881803E-01  1.4884371E-01  2.6707737E-01  6.2966727E-01  6.4695526E-01  1.5177985E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  1.7768703E-01  1.7450868E-01  1.7452726E-01  3.2199500E-01  6.5162367E-01  6.6898566E-01  1.7768703E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  0.0000000E+00  2.0434736E-01  2.0096087E-01  2.0096351E-01  3.7824374E-01  6.7429855E-01  6.9174413E-01  2.0434736E-01  0.0000000E+00  0.0000000E+00
 0.0000000E+00  4.6493746E-02  2.3012281E-01  2.2653136E-01  2.2656588E-01  4.3074720E-01  6.9638571E-01  7.1384144E-01  2.3012281E-01  4.6493746E-02  0.0000000E+00
 0.0000000E+00  1.0370665E-01  2.5640768E-01  2.5260643E-01  2.5268342E-01  4.8389237E-01  7.1894414E-01  7.3639533E-01  2.5640768E-01  1.0370665E-01  0.0000000E+00
